index,Release date[a],Title,Director(s),Synopsis,Notes,Ref.
0,"March 6, 2020",First Cow,Kelly Reichardt,"In the 1820s Northwest, two travelers learn their plan of striking it rich will rely on the use of a landowner's prized dairy cow.",,[219][220]
1,"August 14, 2020",Boys State,Jesse Moss and Amanda McBaine,A thousand teenage boys attending Boys State in Texas decide to build their own state government.,Co-distributed with Apple TV+,[221][222]
2,"October 2, 2020",On the Rocks,Sofia Coppola,A father and daughter harbor suspicions about her husband's fidelity.,Co-distributed with Apple TV+,[223][224]
3,"January 29, 2021",Saint Maud,Rose Glass,"Hospice nurse Maud, a recent convert to Roman Catholicism, becomes obsessed with saving the soul of one of her patients.",,[225][226]
4,"February 12, 2021",Minari,Lee Isaac Chung,A family of South Korean immigrants tries to make it in the U.S. during the 1980s.,,[227][228]
5,"June 25, 2021",False Positive,John Lee,A woman begins to suspect there is something sinister about her pregnancy.,Produced by A24; distributed by Hulu,[229][230]
6,"June 30, 2021",Zola,Janicza Bravo,"Zola is a part-time stripper who is convinced by her new friend to travel to Tampa, Florida, to earn money.",,[231][232]
7,"July 23, 2021",Val,Leo Scott and Ting Poo,A documentary which follows the life and career of American actor Val Kilmer.,Produced by A24; distributed by Amazon Studios,[233][234]
8,"July 30, 2021",The Green Knight,David Lowery,"Gawain, a nephew of King Arthur, sets out on a journey to test his courage and face the Green Knight.",Also produced by A24,[235][236]
9,"October 8, 2021",Lamb,Valdimar Jóhannsson,A childless couple in rural Iceland finds themselves parenting an endearing but unsettlingly humanoid lamb.,,[237][238]
10,"October 29, 2021",The Souvenir Part II,Joanna Hogg,A film student deals with the aftermath of her relationship to an older man.,,[239][240]
11,"November 19, 2021",C'mon C'mon,Mike Mills,A radio journalist and his young nephew forge an unexpected bond over a cross-country trip.,,[240][241]
12,"November 24, 2021",The Humans,Stephen Karam,"In Lower Manhattan, the Blake family gathers for a Thanksgiving dinner.",Also produced by A24; co-distributed with Showtime,[242][243]
13,"December 10, 2021",Red Rocket,Sean Baker,"A washed-up porn star returns to his small Texas hometown, even though no one there really wants him back.",,[244][245]
14,"December 25, 2021",The Tragedy of Macbeth,Joel Coen,"After a supernatural prophecy, Macbeth sets out to become the King of Scotland.",Also produced by A24; co-distributed with Apple TV+,[246][247]
15,"February 11, 2022",The Sky Is Everywhere,Josephine Decker,A young musician tries to keep things together after the death of her older sister.,Co-distributed with Apple TV+,[248][249]
16,"March 4, 2022",After Yang,Kogonada,"A family attempts to save the life of their robotic family member, Yang, who has become unresponsive.",Also produced by A24; co-distributed with Showtime,[250][251]
